"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
soc_jail2,prep_r_survey,,radio,"<font color=""blue"">[soc_name2]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name2]<>""""",,,,soc_jail,,
soc_jail3,prep_r_survey,,radio,"<font color=""blue"">[soc_name3]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name3]<>""""",,,,soc_jail,,
soc_jail4,prep_r_survey,,radio,"<font color=""blue"">[soc_name4]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name4]<>""""",,,,soc_jail,,
soc_jail5,prep_r_survey,,radio,"<font color=""blue"">[soc_name5]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name5]<>""""",,,,soc_jail,,
resil_adapt,prep_r_survey,"<em><strong><div style=""font-size: 14pt"">PART III.</em><strong></div>

Okay, we next have some questions about you and your thoughts, feelings and behaviors. There are no particular answers that we are looking for. We are interested in your actual opinions and experiences. At times, we will ask some personal questions. Remember that your answers are completely confidential and you can skip any question you don't want to answer.



In the next section, you will read you a set of statements. For each one, please indicate how often this is true for you. The responses are not true at all, rarely true, sometimes true, often true, or true nearly all the time.",radio,"You are able to adapt to change.","1, Not true at all | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, True nearly all the time | -98, Don't know | -99, Refused",,,,,,,,,1,resilience,,
resil_deal,prep_r_survey,,radio,"You can deal with whatever comes you way.","1, Not true at all | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, True nearly all the time | -98, Don't know | -99, Refused",,,,,,,,,2,resilience,,
resil_funny,prep_r_survey,,radio,"You can see the funny side of tough situations.","1, Not true at all | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, True nearly all the time | -98, Don't know | -99, Refused",,,,,,,,,3,resilience,,
resil_cope,prep_r_survey,,radio,"Coping with stress makes you feel stronger.","1, Not true at all | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, True nearly all the time | -98, Don't know | -99, Refused",,,,,,,,,4,resilience,,
resil_bounce,prep_r_survey,,radio,"When things go wrong, you bounce right back.","1, Not true at all | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, True nearly all the time | -98, Don't know | -99, Refused",,,,,,,,,5,resilience,,
resil_overcome,prep_r_survey,,radio,"You can achieve your goals, even if there are obstacles in your way.","1, Not true at all | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, True nearly all the time | -98, Don't know | -99, Refused",,,,,,,,,6,resilience,,
resil_focus,prep_r_survey,,radio,"You can stay focused under pressure.","1, Not true at all | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, True nearly all the time | -98, Don't know | -99, Refused",,,,,,,,,7,resilience,,
resil_discourage,prep_r_survey,,radio,"You are NOT easily discouraged by failure.","1, Not true at all | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, True nearly all the time | -98, Don't know | -99, Refused",,,,,,,,,8,resilience,,
resil_strong,prep_r_survey,,radio,"You think of yourself as a strong person.","1, Not true at all | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, True nearly all the time | -98, Don't know | -99, Refused",,,,,,,,,9,resilience,,
resil_handle,prep_r_survey,,radio,"You can handle unpleasant feelings.","1, Not true at all | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, True nearly all the time | -98, Don't know | -99, Refused",,,,,,,,,10,resilience,,
friendsrelatives,prep_r_survey,"<em><strong><div style=""font-size: 14pt"">PART IV.</em><strong></div>

The next sets of questions are about the types of social support you have in your life.",descriptive,"About how many close friends and close relatives do you have (people you feel at ease with and can talk to about what is on your mind)?",,,,,,,,,,1,,,
closefriends,prep_r_survey,,text,"Write in number of close friends:",,,integer,0,,,,,RH,1a,,,
closerelatives,prep_r_survey,,text,"Write in number of close relatives:",,,integer,0,,,,,RH,1b,,,
supp_confined,prep_r_survey,"People sometimes look to others for companionship, assistance, or other types of support. How often is each of the following kinds of support available to you if you need it? The responses are none of the time, a little of the time, some of the time, most of the time, or all of the time.",radio,"Someone to help you if you were confined to bed","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,2,socialsupport,,
supp_listen,prep_r_survey,,radio,"Someone you can count on to listen to you when you need to talk","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,3,socialsupport,,
supp_crisis,prep_r_survey,,radio,"Someone to give you good advice about a crisis","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,4,socialsupport,,
supp_doctor,prep_r_survey,,radio,"Someone to take you to the doctor if you needed it","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,5,socialsupport,,
supp_love,prep_r_survey,,radio,"Someone who shows you love and affection","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,6,socialsupport,,
supp_fun,prep_r_survey,,radio,"Someone to have a good time with","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,7,socialsupport,,
supp_info,prep_r_survey,,radio,"Someone to give you information to help you understand a situation","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,8,socialsupport,,
supp_confide,prep_r_survey,,radio,"Someone to confide in or talk to about yourself or your problems","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,9,socialsupport,,
supp_hug,prep_r_survey,,radio,"Someone who hugs you","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,10,socialsupport,,
supp_relax,prep_r_survey,,radio,"Someone to get together with for relaxation","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,11,socialsupport,,
supp_cook,prep_r_survey,,radio,"Someone to prepare your meals if you were unable to do it yourself","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,12,socialsupport,,
supp_advice,prep_r_survey,,radio,"Someone whose advice you really want","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,13,socialsupport,,
supp_mindoff,prep_r_survey,,radio,"Someone to do things with to help you get your mind off things","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,14,socialsupport,,
supp_chores,prep_r_survey,,radio,"Someone to help with daily chores if you were sick","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,15,socialsupport,,
supp_private,prep_r_survey,,radio,"Someone to share your most private worries and fears with","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,16,socialsupport,,
supp_problem,prep_r_survey,,radio,"Someone to turn to for suggestions about how to deal with a personal problem","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,17,socialsupport,,
supp_enjoy,prep_r_survey,,radio,"Someone to do something enjoyable with","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,18,socialsupport,,
supp_understand,prep_r_survey,,radio,"Someone who understands your problems","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,19,socialsupport,,
supp_wanted,prep_r_survey,,radio,"Someone to love and make you feel wanted","1, None of the time | 2, A little of the time | 3, Some of the time, | 4, Most of the time, | 5, All of the time | -98, Don't Know | -99, Refused",,,,,,,,,20,socialsupport,,
houseball,prep_r_survey,,radio,"Are you part of the House-Ball Community in Chicago?","1, Yes | 0, No | -99, Refused",,,,,,,,,21,,,
closehouse,prep_r_survey,,radio,"How close are you to the House-Ball community in Chicago?","1, Not at all close | 2, Not very close | 3, Somewhat close | 4, Very Close | -99, Refused | -98, Don't Know",,,,,,,,,22,,,
family,prep_r_survey,,radio,"Are you a part of any of the (gay) families of Chicago?","1, Yes | 0, No | -99, Refused",,,,,,,,,23,,,
depress_bother,prep_r_survey,"<em><strong><div style=""font-size: 14pt"">PART V.</em><strong></div>

Next, we are going to ask you about some of the ways you may have felt or behaved. Please indicate how often you have felt this way during the past TWO WEEKS?",radio,"You were bothered by things that usually don't bother you.","1, Rarely or none of the time (less than 1 day) | 2, Some or a little of the time (1-2 days) | 3, Occasionally or a moderate amount of the time (3-4 days) | 4, All of the time (5-7 days) | -98, Don't Know | -99, Refused",,,,,,,,,1,depression,,
depress_focus,prep_r_survey,,radio,"You had trouble keeping your mind on what you were doing.","1, Rarely or none of the time (less than 1 day) | 2, Some or a little of the time (1-2 days) | 3, Occasionally or a moderate amount of the time (3-4 days) | 4, All of the time (5-7 days) | -98, Don't Know | -99, Refused",,,,,,,,,2,depression,,
depress_depressed,prep_r_survey,,radio,"You felt depressed.","1, Rarely or none of the time (less than 1 day) | 2, Some or a little of the time (1-2 days) | 3, Occasionally or a moderate amount of the time (3-4 days) | 4, All of the time (5-7 days) | -98, Don't Know | -99, Refused",,,,,,,,,3,depression,,
depress_effort,prep_r_survey,,radio,"You felt that everything you did was an effort.","1, Rarely or none of the time (less than 1 day) | 2, Some or a little of the time (1-2 days) | 3, Occasionally or a moderate amount of the time (3-4 days) | 4, All of the time (5-7 days) | -98, Don't Know | -99, Refused",,,,,,,,,4,depression,,
depress_hope,prep_r_survey,,radio,"You felt hopeful about the future.","1, Rarely or none of the time (less than 1 day) | 2, Some or a little of the time (1-2 days) | 3, Occasionally or a moderate amount of the time (3-4 days) | 4, All of the time (5-7 days) | -98, Don't Know | -99, Refused",,,,,,,,,5,depression,,
depress_fear,prep_r_survey,,radio,"You felt fearful.","1, Rarely or none of the time (less than 1 day) | 2, Some or a little of the time (1-2 days) | 3, Occasionally or a moderate amount of the time (3-4 days) | 4, All of the time (5-7 days) | -98, Don't Know | -99, Refused",,,,,,,,,6,depression,,
depress_sleep,prep_r_survey,,radio,"Your sleep was restless.","1, Rarely or none of the time (less than 1 day) | 2, Some or a little of the time (1-2 days) | 3, Occasionally or a moderate amount of the time (3-4 days) | 4, All of the time (5-7 days) | -98, Don't Know | -99, Refused",,,,,,,,,7,depression,,
depress_happy,prep_r_survey,,radio,"You were happy.","1, Rarely or none of the time (less than 1 day) | 2, Some or a little of the time (1-2 days) | 3, Occasionally or a moderate amount of the time (3-4 days) | 4, All of the time (5-7 days) | -98, Don't Know | -99, Refused",,,,,,,,,8,depression,,
depress_lonely,prep_r_survey,,radio,"You were lonely.","1, Rarely or none of the time (less than 1 day) | 2, Some or a little of the time (1-2 days) | 3, Occasionally or a moderate amount of the time (3-4 days) | 4, All of the time (5-7 days) | -98, Don't Know | -99, Refused",,,,,,,,,9,depression,,
depress_getgoing,prep_r_survey,,radio,"You could not ""get going.""","1, Rarely or none of the time (less than 1 day) | 2, Some or a little of the time (1-2 days) | 3, Occasionally or a moderate amount of the time (3-4 days) | 4, All of the time (5-7 days) | -98, Don't Know | -99, Refused",,,,,,,,,10,depression,,
anx_nervous,prep_r_survey,"<em><strong><div style=""font-size: 14pt"">PART VI.</em><strong></div>

Over the last 2 weeks, how often have you been bothered by the following problems?",radio,"Feeling nervous, anxious or on edge","1, Not at all | 2, Several days | 3, More than half the days | 4, Nearly everyday | -98, Don't Know | -99, Refused",,,,,,,,,1,anxiety,,
anx_control,prep_r_survey,,radio,"Not being able to stop or control worrying","1, Not at all | 2, Several days | 3, More than half the days | 4, Nearly everyday | -98, Don't Know | -99, Refused",,,,,,,,,2,anxiety,,
anx_worry,prep_r_survey,,radio,"Worrying too much about different things","1, Not at all | 2, Several days | 3, More than half the days | 4, Nearly everyday | -98, Don't Know | -99, Refused",,,,,,,,,3,anxiety,,
anx_relax,prep_r_survey,,radio,"Trouble relaxing","1, Not at all | 2, Several days | 3, More than half the days | 4, Nearly everyday | -98, Don't Know | -99, Refused",,,,,,,,,4,anxiety,,
anx_restless,prep_r_survey,,radio,"Being so restless that it is hard to sit still","1, Not at all | 2, Several days | 3, More than half the days | 4, Nearly everyday | -98, Don't Know | -99, Refused",,,,,,,,,5,anxiety,,
anx_annoyed,prep_r_survey,,radio,"Becoming easily annoyed or irritable","1, Not at all | 2, Several days | 3, More than half the days | 4, Nearly everyday | -98, Don't Know | -99, Refused",,,,,,,,,6,anxiety,,
anx_afraid,prep_r_survey,,radio,"Feeling afraid as if something awful might happen","1, Not at all | 2, Several days | 3, More than half the days | 4, Nearly everyday | -98, Don't Know | -99, Refused",,,,,,,,,7,anxiety,,
rally,prep_r_survey,"<em><strong><div style=""font-size: 14pt"">PART VII.</em><strong></div>",radio,"Have you attended any political rallies such as police brutality demonstrations or protests?","1, Yes | 0, No | -99, Refused",,,,,,,,,1,,,
rallyissues,prep_r_survey,,text,"What were the issues that the rallies supported?",,,,,,,"[rally] = '1'",,RH,1a,,,
criminallegal,prep_r_survey,,descriptive,"Now you will read a list of ways people are often touched by the legal or criminal justice system. For each one, please tell me if this has ever happened to you.",,,,,,,,,,,,,
policestop,prep_r_survey,,radio,"Have you ever been stopped by the police?","1, Yes | 0, No | -99, Refused",,,,,,,,,2,,,
policestop_num,prep_r_survey,,text,"How many times in your lifetime?",,,integer,1,,,"[policestop] = '1'",,RH,2a,,,
policearrest,prep_r_survey,,radio,"Have you ever been arrested by the police?","1, Yes | 0, No | -99, Refused",,,,,,,,,3,,,
policearrest_num,prep_r_survey,,text,"How many times in your lifetime?",,,integer,1,,,"[policearrest] = '1'",,RH,3a,,,
policestation,prep_r_survey,,radio,"Did you ever spend any time being held at a police station?","1, Yes | 0, No | -99, Refused",,,,,,,,,4,,,
policestation_num,prep_r_survey,,text,"How many times in your lifetime?",,,integer,1,,,"[policestation] = '1'",,RH,4a,,,
policejail,prep_r_survey,,radio,"Did you ever spend any time in a jail, juvenile detention center, or prison?","1, Yes | 0, No | -99, Refused",,,,,,,,,5,,,
policejail_num,prep_r_survey,,text,"How many times in your life?",,,integer,1,,,"[policejail] = '1'",,,5a,,,
stop_legit,prep_r_survey,"For the following questions, please identify a time you were stopped by the police in the past year; pick a time where the details stand out to you.

In thinking about that incident, please let me know if you strongly agree, agree, disagree, or strongly disagree with the following statement:",radio,"The police had a legitimate reason to stop you.","1, Strongly Agree | 2, Agree | 3, Disagree | 4, Strongly Disagree | -99, Refused | -98, Don't Know",,,,,,,,,6,,,
stop_askname,prep_r_survey,"Did the police...",radio,"Ask your name and/or ask for some form of identification?","1, Yes | 0, No | -98, Don't Know | -99, Refused",,,,,,,,,7,policestop,,
stop_frisk,prep_r_survey,,radio,"Frisk or pat you down?","1, Yes | 0, No | -98, Don't Know | -99, Refused",,,,,,,,,8,policestop,,
stop_search,prep_r_survey,,radio,"Search your bags or your car?","1, Yes | 0, No | -98, Don't Know | -99, Refused",,,,,,,,,9,policestop,,
stop_bully,prep_r_survey,,radio,"Bully or intimidate you?","1, Yes | 0, No | -98, Don't Know | -99, Refused",,,,,,,,,10,policestop,,
stop_respect,prep_r_survey,,radio,"Treat you disrespectfully?","1, Yes | 0, No | -98, Don't Know | -99, Refused",,,,,,,,,11,policestop,,
stop_curse,prep_r_survey,,radio,"Use harsh or insulting language?","1, Yes | 0, No | -98, Don't Know | -99, Refused",,,,,,,,,12,policestop,,
stop_threat,prep_r_survey,,radio,"Threaten to use physical force?","1, Yes | 0, No | -98, Don't Know | -99, Refused",,,,,,,,,13,policestop,,
stop_force,prep_r_survey,,radio,"Actually use physical force?","1, Yes | 0, No | -98, Don't Know | -99, Refused",,,,,,,,,14,policestop,,
stop_cuff,prep_r_survey,,radio,"Handcuff you?","1, Yes | 0, No | -98, Don't Know | -99, Refused",,,,,,,,,15,policestop,,
stop_weapon,prep_r_survey,,radio,"Take out a weapon, such as a gun, a club, or a taser, and/or threaten to use a weapon?","1, Yes | 0, No | -98, Don't Know | -99, Refused",,,,,,,,,16,policestop,,
stop_arrest,prep_r_survey,,radio,"Take you to the police station and/or arrest you?","1, Yes | 0, No | -98, Don't Know | -99, Refused",,,,,,,,,17,policestop,,
stop_satisfied,prep_r_survey,"To what degree did you feel the following emotions:",radio,"I felt satisfied.","1, Strongly Agree | 2, Agree | 3, Disagree | 4, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,18,policestopemotions,,
stop_safe,prep_r_survey,,radio,"I felt safe.","1, Strongly Agree | 2, Agree | 3, Disagree | 4, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,19,policestopemotions,,
stop_scared,prep_r_survey,,radio,"I felt scared.","1, Strongly Agree | 2, Agree | 3, Disagree | 4, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,20,policestopemotions,,
stop_angry,prep_r_survey,,radio,"I felt angry.","1, Strongly Agree | 2, Agree | 3, Disagree | 4, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,21,policestopemotions,,
assist_intro,prep_r_survey,"<strong><em><div style=""font-size: 14pt""> PART VIII. </strong></em></div>",descriptive,"In the next section, I am going to ask you some questions about your experiences with substance abuse and sexual behaviors in the past 3 months.",,,,,,,,,,,,,
assist_tobacco,prep_r_survey,,radio,"In your life, have you ever used tobacco?","1, Yes | 0, No | -98, Don't know | -99, Refused","TOBACCO (cigarettes, chewing tobacco, cigars, etc.)",,,,,,,,,,,
assist_tobacco3m,prep_r_survey,,radio,"In the past three months, how often have you used tobacco?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_tobacco] = '1'",,,,,,
assist_inhalants,prep_r_survey,,radio,"In your life, have you ever used inhalants?","1, Yes | 0, No | -98, Don't Know | -99, Refused","INHALANTS (nitrous, glue, petrol, paint thinner, etc.)",,,,,,,,,,,
assist_inhalants3m,prep_r_survey,,radio,"In the past three months, how often have you used inhalants?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_inhalants] = '1'",,,,,,
assist_halluc,prep_r_survey,,radio,"In your life, have you ever used hallucinogens?","1, Yes | 0, No | -98, Don't know | -99, Refused","HALLUCINOGENS (LSD, acid, mushrooms, PCP, Special K, etc.)",,,,,,,,,,,
assist_halluc3m,prep_r_survey,,radio,"In the past three months, how often have you used hallucinogens?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_halluc] = '1'",,,,,,
assist_alcohol,prep_r_survey,,radio,"In your life, have you ever used alcohol?","1, Yes | 0, No | -98, Don't know | -99, Refused","ALCOHOLIC BEVERAGES (beer, wine, spirits, etc.)",,,,,,,,,,,
assist_alcohol3m,prep_r_survey,,radio,"In the past three months, how often have you used alcohol?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_alcohol] = '1'",,,,alcohol,,
assist_alc_desire,prep_r_survey,,radio,"During the past three months, how often have you had a strong desire or urge to use alcohol","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_alcohol] = '1'",,,,alcohol,,
assist_alc_prob,prep_r_survey,,radio,"During the past three months, how often has your use of alcohol led to health, social, legal or financial problems?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_alcohol] = '1'",,,,alcohol,,
assist_alc_expect,prep_r_survey,,radio,"During the past three months, how often have you failed to do what was normally expected of you because of your use of alcohol?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_alcohol] = '1'",,,,alcohol,,
assist_alc_concern,prep_r_survey,,radio,"Has a friend or relative or anyone else ever expressed concern about your use of alcohol?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_alcohol] = '1'",,,,alcohol,,
assist_alc_control,prep_r_survey,,radio,"Have you ever tried and failed to control, cut down or stop using alcohol?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_alcohol] = '1'",,,,alcohol,,
assist_cannabis,prep_r_survey,,radio,"In your life, have you ever used cannabis?","1, Yes | 0, No | -98, Don't know | -99, Refused","CANNABIS (marijuana, pot, grass, hash, etc.)",,,,,,,,,,,
assist_cannabis3m,prep_r_survey,,radio,"In the past three months, how often have you used cannabis?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_cannabis] = '1'",,,,cannabis,,
assist_cann_desire,prep_r_survey,,radio,"During the past three months, how often have you had a strong desire or urge to use cannabis?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_cannabis] = '1'",,,,cannabis,,
assist_cann_prob,prep_r_survey,,radio,"During the past three months, how often has your use of cannabis led to health, social, legal or financial problems?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_cannabis] = '1'",,,,cannabis,,
assist_cann_expect,prep_r_survey,,radio,"During the past three months, how often have you failed to do what was normally expected of you because of your use of cannabis?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_cannabis] = '1'",,,,cannabis,,
assist_cann_concern,prep_r_survey,,radio,"Has a friend or relative or anyone else ever expressed concern about your use of cannabis?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_cannabis] = '1'",,,,cannabis,,
assist_cann_control,prep_r_survey,,radio,"Have you ever tried and failed to control, cut down or stop using cannabis?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_cannabis] = '1'",,,,cannabis,,
assist_coke,prep_r_survey,,radio,"In your life, have you ever used cocaine?","1, Yes | 0, No | -98, Don't know | -99, Refused","COCAINE (coke, crack, etc.)",,,,,,,,,,,
assist_coke3m,prep_r_survey,,radio,"In the past three months, how often have you used cocaine?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_coke] = '1'",,,,cocaine,,
assist_coke_desire,prep_r_survey,,radio,"During the past three months, how often have you had a strong desire or urge to use cocaine?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_coke] = '1'",,,,cocaine,,
assist_coke_prob,prep_r_survey,,radio,"During the past three months, how often has your use of cocaine led to health, social, legal or financial problems?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_coke] = '1'",,,,cocaine,,
assist_coke_expect,prep_r_survey,,radio,"During the past three months, how often have you failed to do what was normally expected of you because of your use of cocaine?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_coke] = '1'",,,,cocaine,,
assist_coke_concern,prep_r_survey,,radio,"Has a friend or relative or anyone else ever expressed concern about your use of cocaine?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_coke] = '1'",,,,cocaine,,
assist_coke_control,prep_r_survey,,radio,"Have you ever tried and failed to control, cut down or stop using cocaine?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_coke] = '1'",,,,cocaine,,
assist_stim,prep_r_survey,,radio,"In your life, have you ever used amphetamine type stimulants?","1, Yes | 0, No | -98, Don't know | -99, Refused","AMPHETAMINE TYPE STIMULANTS (speed, diet pills, ecstasy, etc.)",,,,,,,,,,,
assist_stim3m,prep_r_survey,,radio,"In the past three months, how often have you used amphetamine type stimulants?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_stim] = '1'",,,,stimulants,,
assist_stim_desire,prep_r_survey,,radio,"During the past three months, how often have you had a strong desire or urge to use amphetamine type stimulants?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_stim] = '1'",,,,stimulants,,
assist_stim_prob,prep_r_survey,,radio,"During the past three months, how often has your use of amphetamine type stimulants led to health, social, legal or financial problems?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_stim] = '1'",,,,stimulants,,
assist_stim_expect,prep_r_survey,,radio,"During the past three months, how often have you failed to do what was normally expected of you because of your use of amphetamine type stimulants?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_stim] = '1'",,,,stimulants,,
assist_stim_concern,prep_r_survey,,radio,"Has a friend or relative or anyone else ever expressed concern about your use of amphetamine type stimulants?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_stim] = '1'",,,,stimulants,,
assist_stim_control,prep_r_survey,,radio,"Have you ever tried and failed to control, cut down or stop using amphetamine type stimulants?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_stim] = '1'",,,,stimulants,,
assist_sedatives,prep_r_survey,,radio,"In your life, have you ever used sedatives or sleeping pills?","1, Yes | 0, No | -98, Don't know | -99, Refused","SEDATIVES OR SLEEPING PILLS (valium, serepax, rohypnol, etc.)",,,,,,,,,,,
assist_sed3m,prep_r_survey,,radio,"In the past three months, how often have you used sedatives or sleeping pills?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_sedatives] = '1'",,,,sedatives,,
assist_sed_desire,prep_r_survey,,radio,"During the past three months, how often have you had a strong desire or urge to use sedatives or sleeping pills?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_sedatives] = '1'",,,,sedatives,,
